;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
0;HybridAgent;0.0;HardlinerAgent;0.0;Failed
1;HybridAgent;0.9453143368;TimeDependentAgent;0.474478944;Agreement
2;HybridAgent;1.0;StupidAgent;0.2061406266;Agreement
3;HybridAgent;0.95814;ColmanAnacondotAgent2;0.4561621662;Agreement
4;HybridAgent;0.0;DreamTeam109Agent;0.0;Failed
5;HybridAgent;0.0;Agent4410;0.0;Failed
6;HybridAgent;0.7558724524;AgentFish;0.3828168622;Agreement
7;HybridAgent;0.0;AgentFO2;0.0;Failed
8;HybridAgent;0.7389908309;BoulwareAgent;0.4219552506;Agreement
9;HardlinerAgent;0.0;HybridAgent;0.0;Failed
10;HardlinerAgent;0.9871743368;TimeDependentAgent;0.2244574044;Agreement
11;HardlinerAgent;1.0;StupidAgent;0.2061406266;Agreement
12;HardlinerAgent;1.0;ColmanAnacondotAgent2;0.2061406266;Agreement
13;HardlinerAgent;0.0;DreamTeam109Agent;0.0;Failed
14;HardlinerAgent;0.0;Agent4410;0.0;Failed
15;HardlinerAgent;0.9871743368;AgentFish;0.2244574044;Agreement
16;HardlinerAgent;0.0;AgentFO2;0.0;Failed
17;HardlinerAgent;0.9871743368;BoulwareAgent;0.2244574044;Agreement
18;TimeDependentAgent;0.3851871292;HybridAgent;0.8935333512;Agreement
19;TimeDependentAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
20;TimeDependentAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
21;TimeDependentAgent;0.4939064631;ColmanAnacondotAgent2;0.8369967444;Agreement
22;TimeDependentAgent;0.3767834864;DreamTeam109Agent;0.9472565835;Agreement
23;TimeDependentAgent;0.5002821527;Agent4410;0.7369330524;Agreement
24;TimeDependentAgent;0.5142312623;AgentFish;0.8412469807;Agreement
25;TimeDependentAgent;0.5142312623;AgentFO2;0.8412469807;Agreement
26;TimeDependentAgent;0.3334468976;BoulwareAgent;0.9037133998;Agreement
27;StupidAgent;0.3122175916;HybridAgent;0.9757534099;Agreement
28;StupidAgent;0.2273268976;HardlinerAgent;1.0;Agreement
29;StupidAgent;0.3122175916;TimeDependentAgent;0.9757534099;Agreement
30;StupidAgent;0.3101134864;ColmanAnacondotAgent2;0.9136634099;Agreement
31;StupidAgent;0.2288351172;DreamTeam109Agent;0.9075369791;Agreement
32;StupidAgent;0.231598482;Agent4410;0.837846308;Agreement
33;StupidAgent;0.3057707064;AgentFish;0.6867782164;Agreement
34;StupidAgent;0.2918927924;AgentFO2;0.9715031736;Agreement
35;StupidAgent;0.2273268976;BoulwareAgent;1.0;Agreement
36;ColmanAnacondotAgent2;0.3980127924;HybridAgent;0.8752165734;Agreement
37;ColmanAnacondotAgent2;0.2273268976;HardlinerAgent;1.0;Agreement
38;ColmanAnacondotAgent2;0.870240694;TimeDependentAgent;0.4946090027;Agreement
39;ColmanAnacondotAgent2;0.9871743368;StupidAgent;0.2244574044;Agreement
40;ColmanAnacondotAgent2;0.3122175916;DreamTeam109Agent;0.9757534099;Agreement
41;ColmanAnacondotAgent2;0.3767834864;Agent4410;0.9472565835;Agreement
42;ColmanAnacondotAgent2;0.9453143368;AgentFish;0.474478944;Agreement
43;ColmanAnacondotAgent2;0.936910694;AgentFO2;0.5282021763;Agreement
44;ColmanAnacondotAgent2;0.95814;BoulwareAgent;0.4561621662;Agreement
45;DreamTeam109Agent;0.0;HybridAgent;0.0;Failed
46;DreamTeam109Agent;0.0;HardlinerAgent;0.0;Failed
47;DreamTeam109Agent;0.95814;TimeDependentAgent;0.4561621662;Agreement
48;DreamTeam109Agent;1.0;StupidAgent;0.2061406266;Agreement
49;DreamTeam109Agent;0.9453143368;ColmanAnacondotAgent2;0.474478944;Agreement
50;DreamTeam109Agent;0.978770694;Agent4410;0.2781806367;Agreement
