,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
ColmanAnacondotAgent2,0.6527201993333333,0.37039149181534264,1.3335947083500002,187.5,18,18,0,0
DreamTeam109Agent,0.633163405172222,0.22156612386742597,0.8667003417166667,2701.5,18,12,6,0
BoulwareAgent,0.6078912996055555,0.30583067438282613,1.2228931715500002,2773.4444444444443,18,18,0,0
HardlinerAgent,0.5493768466722222,0.1358673864049253,0.6869857375833334,3283.8888888888887,18,10,8,0
AgentFO2,0.5408333408555556,0.26431851627183334,0.9179883885777778,1894.2222222222222,18,13,5,0
HybridAgent,0.5240035464,0.22080293021066816,0.7862768459166667,83.27777777777777,18,11,7,0
TimeDependentAgent,0.49470620647777774,0.36977756176897575,1.316672245733333,673.7222222222222,18,18,0,0
Agent4410,0.45245927468333336,0.19531625669852837,0.8036839355666667,1085.611111111111,18,12,6,0
AgentFish,0.43216875297777774,0.2810400125785763,1.151693566688889,1372.0,18,18,0,0
StupidAgent,0.24540329811111108,0.22886614572316566,1.1789633988944441,2.5,18,18,0,0
