;Agent;Utility Mean;Utility Stdev;Opp. Utility Mean;Opp. Utility Stdev;Nash Product Mean;Nash Product Stdev;Social Welfare Mean;Social Welfare Stdev;Agreement Utility Mean;Agreement Utility Stdev;Agreement Opp. Utility Mean;Agreement Opp. Utility Stdev;Count;Agreement;AgreementRate;Error;Failed
0;Agent4410;0.46176777106000005;0.3257007258555136;0.55732437372;0.55732437372;0.26565553368409495;0.156326646321522;1.01909214478;0.5159016250664444;0.577209713825;0.2568404033280645;0.69665546715;0.2868333788756809;20;16;0.8;0;4
1;TimeDependentAgent;0.498389442125;0.1854010682339523;0.82285566983;0.82285566983;0.37556079030939415;0.07771184994329865;1.3212451119550002;0.07626886594747992;0.498389442125;0.1854010682339523;0.82285566983;0.2013130886548851;20;20;1.0;0;0
2;AgentFO2;0.5637891361249999;0.3556006372842253;0.370494710055;0.370494710055;0.2627163927603594;0.18500889013681826;0.9342838461799999;0.5619036720637229;0.7517188481666666;0.16532426009817172;0.49399294674;0.21865491707162227;20;15;0.75;0;5
3;BoulwareAgent;0.593625241265;0.259265255165995;0.628654486705;0.628654486705;0.3112001792699569;0.1002722172681318;1.22227972797;0.15623286168686795;0.593625241265;0.259265255165995;0.628654486705;0.284886325891269;20;20;1.0;0;0
4;ColmanAnacondotAgent2;0.62716700716;0.28793738688133447;0.681895134895;0.681895134895;0.348872382579582;0.10665435337687328;1.3090621420550002;0.09298033425902114;0.62716700716;0.28793738688133447;0.681895134895;0.2886466707478667;20;20;1.0;0;0
5;LuckyAgent2022;0.64443476685;0.43020418825636275;0.24786586280499998;0.24786586280499998;0.2197846200891982;0.16350819089663546;0.892300629655;0.5888443367308055;0.9206210954999998;0.10065195536100631;0.3540940897214285;0.14749904127035837;20;14;0.7;0;6
6;StupidAgent;0.23946851555999998;0.07565669728411357;0.949634348785;0.949634348785;0.224889270837554;0.05269068096661285;1.1891028643450001;0.09202064448443262;0.23946851555999998;0.07565669728411357;0.949634348785;0.0882064461870261;20;20;1.0;0;0
7;HybridAgent;0.5273405901449999;0.3958994282651088;0.29634356077499996;0.29634356077499996;0.2326862567891031;0.18320493413941766;0.8236841509199999;0.6070724052319854;0.8112932156076922;0.1037497893671394;0.4559131704230769;0.1340986115354729;20;13;0.65;0;7
8;HardlinerAgent;0.49629277466999994;0.4963408814788002;0.11868762822999998;0.11868762822999998;0.11764272552628849;0.12031882767697011;0.6149804028999999;0.6153512496565693;0.9925855493399999;0.009772659566866933;0.23737525645999996;0.038426822555235926;20;10;0.5;0;10
9;AgentFish;0.41152356723;0.23314629280540802;0.747451280045;0.747451280045;0.27138850248481017;0.11658270218311388;1.1589748472749999;0.1824515875442671;0.41152356723;0.23314629280540802;0.747451280045;0.2265877692383112;20;20;1.0;0;0
10;DreamTeam109Agent;0.5663193889;0.46287232114327115;0.208911145245;0.208911145245;0.197136154562018;0.17588842478941272;0.775230534145;0.6376080836170116;0.9438656481666664;0.027049918397286186;0.348185242075;0.09614161981628423;20;12;0.6;0;8
